CAS,Mortality,Halted Dev.,Craniofacial,Yolk E.,Par E.,Red heart,Axis,Notochord,C. Fin,Pectoral Fin
103-90-2,,,,,,,,,,
1069-66-5,,,,,,,,,,
107534-96-3,,,,,,,,,,
108-88-3,,,,,,,,,,
109-86-4,,,,,,,,,,
110-54-3,,,,,,,,,,
111-94-4,,,,,,,,,,
115-09-3,0.554577912147812,,,0.352120914298462,0.352120914298462,,0.48178171816973,,0.563186197235013,
115-86-6,,,,15.391964327586,15.2228615305134,,23.5077613722683,,,
115-96-8,,,,,,,,,,
116-06-3,,,,,,,,,,
117-81-7,,,,,,,,,,
120-12-7,,,,,,,,,,
12108-13-3,,,,,,,,,,
1241-94-7,,,,,,,,,,
127-07-1,,,,,,,,,,
129-00-0,,,,,,,,,,
133-06-2,,,,,,,,,,
1330-78-5,,,,29.5122451087015,19.1031432963805,25.0705429361444,,,,
13674-84-5,,,,,,,,,,
1478-61-1,15.3730177754199,,,,,,19.26225688774,,,
1746-01-6,0.0882411338029349,,,,0.00921781613380659,,0.0384375395610322,,,
183658-27-7,,,,,,,,,,
191-24-2,,,,,,,,,,
192-97-2,,,,,,,,,,
2001-95-8,0.22511337689489,,,1.43591437880052,0.740173548185261,,,0.326064213547364,0.396945469767334,
203-64-5,,,,,,,,,,
205-99-2,,,,,,,,,,
207-08-9,,,,,,,,,,
208-96-8,,,,,,,,,,
215-58-7,,,,,,,,,,
218-01-9,,,,,,,,,,
2465-27-2,7.59681572550329,,6.51960183613417,6.51960183613417,6.72946995066819,,6.51960183613417,,,
26040-51-7,16.2248155436384,,,28.2531696664177,,,,,,
26787-78-0,,,,,,,,,,
28094-15-7,,,,,,,,,,
2921-88-2,,,,,,,,,,
29761-21-5,,,,,,,,,,
36913-39-0,,,,,,,,,,
439-14-5,,,,,,,20.2737854974195,,,
50-06-6,,,,,,,,,,
50-28-2,17.7395706823983,,,,,,,11.3668020831384,,
50-29-3,,,,,,,20.5789168652262,,,
50-32-8,,,,,,,,,,
50-35-1,,,,,,,,,,
50-70-4,,,,,,,,,,
50-78-2,,,,,,,,,,
50-81-7,,,,,,,,,,
51-21-8,,,,,,,,,,
51-52-5,,,,,,,,,,
52645-53-1,,,,,,,,,,
52918-63-5,,,,,,,0.672319828579573,,,
53-70-3,,,,,,,,,,
5436-43-1,,,,,,,,,,
55406-53-6,1.64495443272531,,,,,,,,,
56-35-9,0.559200287967229,,,,,,,,0.334176624714828,
56-38-2,,,,,,,,,,
56-53-1,17.4320510937883,,9.97745575199698,9.97745575199698,9.93260543298259,,5.85450019902774,,,
56-55-3,,,,,27.2908450484784,,29.3157615839915,,,
56803-37-3,,,,27.436376984529,16.524627139473,,18.8777921017919,,26.6868114173601,
57-30-7,,,,,,,,,,
58-08-2,,,,,,,,,,
58-89-9,,,,,,,,,,
60-57-1,,,,,,,,,,
60348-60-9,,,,,,,,,,
6080-56-4,,,,,,,,,,
63-25-2,,,,,,,,,,
633-65-8,,,,,,,,,,
638-38-0,,,,,,,,,,
64-86-8,,,,,,,,,,
68631-49-2,,,,,,,,,,
68937-41-7,,,,25.3908272374751,15.4844638970247,,17.9318445123269,,29.9034540569125,
70-30-4,1.65669416442133,,,1.0863178586444,1.06398468195755,,1.08908917887435,,1.08032393163222,
76-44-8,,,,,,,29.7857578231071,,,
79-06-1,,,,,,,,,,
79-94-7,2.72073657136338,3.30614617378205,,3.34096149016995,3.5187547030376,,3.67543955811402,,3.02554183311409,
80-05-7,,,,,,,,,,
80-09-1,,,,,,,,,,
82385-42-0,,,,,,,,,,
83-32-9,,,,,,,,,,
83-79-4,0.538855429049647,0.317948834970393,0.328529687412693,,,,0.742663549254044,,,
848641-69-0,,,,,,,,,,
85-01-8,,,,,,,,,,
86-73-7,,,,,,,,,,
860302-33-6,,,,28.9911286088779,17.4380911556809,,27.7454952903043,,,
91-20-3,,,,,,,,,,
97-77-8,16.5635369640608,,6.4137220436316,,23.2820961435356,,,2.08963789961337,,
