CAS,Mortality,Halted Dev.,Craniofacial,Yolk E.,Par E.,Red heart,Axis,Notochord,C. Fin,Pectoral Fin
103-90-2,,,,,,,,,,
1069-66-5,,,,,,,,,,
107534-96-3,,,,,,,,,,
108-88-3,,,,,,,,,,
109-86-4,,,,,,,,,,
110-54-3,,,,,,,,,,
111-94-4,,,,,,,,,,
115-09-3,0.569732051632464,,,0.33166156353293,0.474474181835026,,0.410832570885748,,0.327046547452037,0.338853816346694
115-86-6,28.5910439151033,,,20.5394717710401,17.3958226443005,,19.0683033650648,,,
115-96-8,,,,,,,,,,
116-06-3,,,,,,,,,,
117-81-7,,,,,,,,,,
120-12-7,,,,,,,,,,
12108-13-3,,,,,,,,,,
1241-94-7,,,,,17.5966716191728,29.9344269956409,19.8062525383973,,,
127-07-1,,,,,,,,,,
129-00-0,,,,,,,,,,
133-06-2,,,,,,,,,,
1330-78-5,,,,13.2956398546287,10.4786524203808,23.1661771612638,29.8883746780161,,,
13674-84-5,,,,,,,,,,
1478-61-1,29.2429433135017,,,,,,,,,
1746-01-6,0.0161224392043721,,,0.0156070358642318,0.0137534040406665,,0.0314174302986231,,0.0311148234064748,
183658-27-7,,,,,,,,,,
191-24-2,,,,,,,,,,
192-97-2,,,,,,,,,,
2001-95-8,0.190908384148357,,0.31077888187662,0.306372027014528,0.30888269723016,,0.52434651395666,0.319915258732474,0.872697861763465,0.300000000000021
203-64-5,,,,,,,,,,
205-99-2,,,,,,,,,,
207-08-9,,,,,,,,,,
208-96-8,,,,,,,,,,
215-58-7,,,,,,,,,,
218-01-9,,,,,,,,,,
2465-27-2,5.49803247299981,,,,15.0392489045279,,,,,
26040-51-7,15.2426368240802,,,,,,,,,
26787-78-0,,,,,,,,,,
28094-15-7,,,,,,,,,,
2921-88-2,,,,,,,,,,
29761-21-5,,,,,,,,,,
36913-39-0,,,,,,,,,,
439-14-5,,,,,27.3210697287587,,19.4671165600223,,,
50-06-6,,,,,,,,,,
50-28-2,17.7395706823983,,,,,,,,11.3668020831384,
50-29-3,,,,,,,11.8388464024881,,,
50-32-8,,,,,,,,,,
50-35-1,,,,,,,,,,
50-70-4,,,,,,,,,,
50-78-2,,,,,,,,,,
50-81-7,,,,,,,,,,
51-21-8,,,,,,,,,,
51-52-5,,,,,,,,,,
52645-53-1,,,,,,,15.8603606276353,,,
52918-63-5,,,,0.942287768844736,0.409038547683019,,0.312444934502555,,,
53-70-3,,,,,,,,,,
5436-43-1,,,,,,,,,,
55406-53-6,1.65552394528259,,,1.15441918652475,3.34698032457911,,,,,
56-35-9,0.559589617573949,,,,,,0.863643778565917,,0.599508046367779,
56-38-2,,,,,,,,,,
56-53-1,14.5412456545205,,,25.9860318266058,10.3323204137532,,5.9181050027631,,10.9390625785195,
56-55-3,,,,29.478398867983,17.9866576693788,,,,29.6951714164851,
56803-37-3,,,,16.6440983569564,18.8418273264363,,19.8851776093236,,,
57-30-7,,,,,,,,,,
58-08-2,,,,,,,,,,
58-89-9,,,,,,,,,,
60-57-1,,,,,,,,,,
60348-60-9,,,,,,,,,,
6080-56-4,,,,,,,,,,
63-25-2,,,,,,,,,,
633-65-8,,,,,,,,,,
638-38-0,,,,,,,,,,
64-86-8,,,,,,,,,,
68631-49-2,,,,,,,,,,
68937-41-7,,,,9.1193349571286,6.17201620439829,,24.3193332906496,,,
70-30-4,1.60858905512099,,,1.07923592660054,1.0357368746001,,1.19774411571601,,1.26567925257476,
76-44-8,,,,,,,25.804888952063,,,
79-06-1,,,,,,,,,,
79-94-7,2.6682816641579,,,3.45532448379257,3.8706158673991,,4.23565381076548,,2.97916006796167,
80-05-7,,,,,,,,,,
80-09-1,,,,,,,,,,
82385-42-0,,,,,,,,,,
83-32-9,,,,,,,,,,
83-79-4,0.4738244397289,0.316484588825492,0.340264012645986,2.94951494413228,,,,,,
848641-69-0,,,,,,,,,,
85-01-8,,,,,,,,,,
86-73-7,,,,,,,,,,
860302-33-6,,,,21.5980608751772,10.5874541682649,,27.3124102457663,,,
91-20-3,,,,,,,,,,
97-77-8,16.0413165153892,,,1.67121020254928,1.5303600461911,,,1.29785006438447,,
