CAS,Mortality,Halted Dev.,Craniofacial,Yolk E.,Par E.,Red heart,Axis,Notochord,C. Fin,Pectoral Fin
103-90-2,,,,,,,,,,
1069-66-5,,,,,,,,,,
107534-96-3,,,,,,,,,,
108-88-3,,,,,,,,,,
109-86-4,,,,,,,,,,
110-54-3,,,,,,,,,,
111-94-4,,,,,,,,,,
115-09-3,0.554577912147812,0.34213977619649,,,0.352120914298462,,0.394660759452563,,0.325092605173392,
115-86-6,,,,27.6031617327465,,,28.5976788441545,,,
115-96-8,,,,,,,,,,
116-06-3,,,,,,,,,,
117-81-7,,,,,,,,,,
120-12-7,,,,,,,,,,
12108-13-3,,,,,,,,,,
1241-94-7,,,,,,,,,,
127-07-1,,,,,,,,,,
129-00-0,,,,,,,,,,
133-06-2,,,,,,,,,,
1330-78-5,,,,,,,,,,
13674-84-5,,,,,,,,,,
1478-61-1,14.8773366629037,,,,,,11.1563464328772,,,
1746-01-6,0.0898728550907844,,,,,,,,,
183658-27-7,,,,,,,,,,
191-24-2,,,,,,,,,,
192-97-2,,,,,,,,,,
2001-95-8,0.239516052565338,0.572620412103105,,1.00771669755995,,,1.29553450737095,,0.336832100207293,
203-64-5,,,,,,,,,,
205-99-2,,,,,,,,,,
207-08-9,,,,,,,,,,
208-96-8,,,,,,,,,,
215-58-7,,,,,,,,,,
218-01-9,,,,,,,,,,
2465-27-2,9.22303707556616,,6.47281708825102,,,,6.47281708825102,,,
26040-51-7,17.545157127028,,,27.5601931639797,,,,,,
26787-78-0,,,,,,,,,,
28094-15-7,,,,,,,,,,
2921-88-2,,,,,,,,,,
29761-21-5,,,,,,,,,,
36913-39-0,,,,,,,,,,
439-14-5,,,,,,,17.5221502551882,,,
50-06-6,,,,,,,,,,
50-28-2,28.8367893335684,,,19.9344658966424,,,19.9344658966424,,,
50-29-3,,,,,,,17.0736291356676,,,
50-32-8,,,,,,,,,,
50-35-1,,,,,,,,,,
50-70-4,,,,,,,,,,
50-78-2,,,,,,,,,,
50-81-7,,,,,,,,,,
51-21-8,,,,,,,,,,
51-52-5,,,,,,,,,,
52645-53-1,,,,,,,24.9871350322334,,,
52918-63-5,,,,,,,0.784957234979552,,,
53-70-3,,,,,,,,,,
5436-43-1,,,,,,,,,,
55406-53-6,1.64495443272531,,,,,,,,,
56-35-9,0.557040567303398,,,,,,0.740595342492682,,0.34164048134467,
56-38-2,,,,,,,,,,
56-53-1,17.9717305202523,,,,,,5.84327990928665,,,
56-55-3,,,,,,,,,,
56803-37-3,,,,,,,23.0250253136322,,,
57-30-7,,,,,,,,,,
58-08-2,,,,,,,,,,
58-89-9,,,,,,,,,,
60-57-1,,,,,,,28.2441861893307,,,
60348-60-9,,,,,,,,,,
6080-56-4,,,,,,,,,,
63-25-2,,,,,,,,,,
633-65-8,,,,,,,,,,
638-38-0,,,,,,,,,,
64-86-8,,,,,,,,,,
68631-49-2,,,,,,,,,,
68937-41-7,,,,,29.4556990889742,,19.6306059559078,,,
70-30-4,1.65669416442133,,,1.06398468195755,1.09951890415991,,1.41443445789492,1.14381333229355,1.1184231793676,
76-44-8,,,,,,,29.9247075035311,,26.9461599658326,
79-06-1,,,,,,,,,,
79-94-7,2.83105090935477,3.31907902778409,,3.14977943399371,,,3.06527250307265,,6.28967587492378,
80-05-7,,,,,,,,,,
80-09-1,,,,,,,,,,
82385-42-0,,,,,,,,,,
83-32-9,,,,,,,,,,
83-79-4,0.763440090926529,0.316496885437554,,,,,,,,
848641-69-0,,,,,,,,,,
85-01-8,,,,,,,,,,
86-73-7,,,,,,,,,,
860302-33-6,,,,,29.8035327716304,,,,,
91-20-3,,,,,,,,,,
97-77-8,16.606949850498,10.0000000000176,10.0914604723143,,,,,,13.8627495438659,
