CAS,Mortality,Halted Dev.,Craniofacial,Yolk E.,Par E.,Red heart,Axis,Notochord,C. Fin,Pectoral Fin
103-90-2,,,,,,,,,,
1069-66-5,,,,,,,,,,
107534-96-3,,,,,,,,,,
108-88-3,,,,,,,,,,
109-86-4,,,,,,,,,,
110-54-3,,,,,,,,,,
111-94-4,,,,,,,,,,
115-09-3,0.552959929860511,,,0.413399491270462,0.361841693636623,,0.39360635637455,0.334448128277837,0.480536043284201,
115-86-6,28.5804807854522,,,20.1499566945492,15.9035672348673,,18.208895149172,,,
115-96-8,,,,,,,,,,
116-06-3,,,,,,,,,,
117-81-7,,,,,,,,,,
120-12-7,,,,,,,,,,
12108-13-3,,,,,,,,,,
1241-94-7,,,,25.482159963053,26.8913039717581,,27.8514179077549,,,
127-07-1,,,,,,,,,,
129-00-0,,,,,,,,,,
133-06-2,,,,,,,,,,
1330-78-5,,,,11.2920201702952,10.9619779184708,,19.8154941943381,,,
13674-84-5,,,,,,,,,,
1478-61-1,14.4060171537533,,,9.53098875738016,9.50632422740688,11.269231806231,8.69053979843532,,14.6209679662007,
1746-01-6,0.01029517647947,,,0.00278938377442108,0.029276572440009,,0.0874931446883747,,,
183658-27-7,,,,,,,,,,
191-24-2,,,,,,,,,,
192-97-2,,,,,,,,,,
2001-95-8,0.189250669846721,,,0.315226770132781,0.313045271614922,,0.444901070076602,0.319906560816713,0.390911713096304,
203-64-5,,,,,,,,,,
205-99-2,,,,,,,,,,
207-08-9,,,,,,,,,,
208-96-8,,,,,,,,,,
215-58-7,,,,,,,,,,
218-01-9,,,,,,,,,,
2465-27-2,5.49803247299981,,,,15.0392489045279,,,,,
26040-51-7,23.385034060453,,,,,,,,,
26787-78-0,,,,,,,,,,
28094-15-7,,,,,,,,,,
2921-88-2,,,,,,,,,,
29761-21-5,,,,,,,,,,
36913-39-0,,,,,,,,,,
439-14-5,,,,26.5937106498279,27.5576720017942,,19.7593852054104,,,
50-06-6,,,,,,,,,,
50-28-2,17.7395706823983,,,,,,,11.3668020831384,11.3668020831384,
50-29-3,,,,,,,9.84241389151494,,,
50-32-8,,,,,,,,,,
50-35-1,,,,,,,,,,
50-70-4,,,,,,,,,,
50-78-2,,,,,,,,,,
50-81-7,,,,,,,,,,
51-21-8,,,,,,,,,,
51-52-5,,,,,,,,,,
52645-53-1,,,,,,,13.6985587974173,,,
52918-63-5,,,,,,,0.571539239738192,,,
53-70-3,,,,,,,,,,
5436-43-1,,,,,,,20.4902520096299,,,
55406-53-6,1.64495443272531,,,3.36171592628909,3.36171592628909,,,,,
56-35-9,0.555074864543559,,,0.995013400699308,,,,,,
56-38-2,,,,,,,,,,
56-53-1,11.5917658269826,,,8.58683313469635,11.3819369825438,,6.01795453521958,,,
56-55-3,25.678329408136,,,11.8310823621867,12.3265936874515,,28.0670195951313,,29.8243551244911,
56803-37-3,27.5414550258043,,,21.7299062341163,27.8783402324426,,18.0819347063041,,,
57-30-7,,,,,,,,,,
58-08-2,,,,,,,,,,
58-89-9,,,,,,,,,,
60-57-1,,,,,,,,,,
60348-60-9,,,,,,,,,,
6080-56-4,,,,,,,,,,
63-25-2,,,,,,,,,,
633-65-8,,,,,,,,,,
638-38-0,,,,,,,,,,
64-86-8,,,,,,,,,,
68631-49-2,,,,,,,,,,
68937-41-7,24.6227642082373,,,9.46427410859373,9.46427410859373,,12.0116275213293,,,
70-30-4,1.56259331714723,,,1.04931346336058,1.04398425379406,,1.3395673415549,,1.04931346336058,
76-44-8,29.4947232149448,,,,,,24.8775973203885,,,
79-06-1,,,,,,,,,,
79-94-7,2.50367581783145,,,4.25955841957304,3.18809607445139,,,,3.03250805981467,
80-05-7,,,,,,,,,,
80-09-1,,,,,,,,,,
82385-42-0,,,,,,,,,,
83-32-9,,,,,,,,,,
83-79-4,0.4738244397289,0.316484588825492,0.340264012645986,2.95101249982124,,,,,,
848641-69-0,,,,,,,,,,
85-01-8,,,,,,,,,,
86-73-7,,,,,,,,,,
860302-33-6,,,,19.8147356179291,19.8147356179291,,18.3241187205577,,,
91-20-3,,,,,,,,,,
97-77-8,15.954273831599,,,1.99705721096019,2.17258706282802,,,0.340521153160276,,
