CAS	phenotype	source	concentration	duration
83-32-9	Curved/curled	Biobide	AC50	4dpf
1330-78-5	Curved/curled	Biobide	AC50	4dpf
63-25-2	Curved/curled	Biobide	AC50	4dpf
116-06-3	Curved/curled	Biobide	AC50	4dpf
5436-43-1	Curved/curled	Biobide	AC50	4dpf
129-00-0	Curved/curled	Biobide	AC50	4dpf
107534-96-3	Curved/curled	Biobide	AC50	4dpf
56-55-3	Curved/curled	Biobide	AC50	4dpf
133-06-2	Curved/curled	Biobide	AC50	4dpf
97-77-8	Notochord morphology	Biobide	AC50	4dpf
2001-95-8	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
83-79-4	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
70-30-4	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
207-08-9	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
55406-53-6	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
1478-61-1	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
439-14-5	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
53-70-3	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
80-05-7	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
133-06-2	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf
1746-01-6	Yolk edema	Biobide	AC50	4dpf
56-35-9	Yolk edema	Biobide	AC50	4dpf
2001-95-8	Yolk edema	Biobide	AC50	4dpf
52918-63-5	Yolk edema	Biobide	AC50	4dpf
83-79-4	Yolk edema	Biobide	AC50	4dpf
70-30-4	Yolk edema	Biobide	AC50	4dpf
115-09-3	Yolk edema	Biobide	AC50	4dpf
79-94-7	Yolk edema	Biobide	AC50	4dpf
55406-53-6	Yolk edema	Biobide	AC50	4dpf
56-53-1	Yolk edema	Biobide	AC50	4dpf
2465-27-2	Yolk edema	Biobide	AC50	4dpf
68937-41-7	Yolk edema	Biobide	AC50	4dpf
1478-61-1	Yolk edema	Biobide	AC50	4dpf
115-86-6	Yolk edema	Biobide	AC50	4dpf
50-29-3	Yolk edema	Biobide	AC50	4dpf
1330-78-5	Yolk edema	Biobide	AC50	4dpf
1241-94-7	Yolk edema	Biobide	AC50	4dpf
2921-88-2	Yolk edema	Biobide	AC50	4dpf
56-38-2	Yolk edema	Biobide	AC50	4dpf
50-28-2	Yolk edema	Biobide	AC50	4dpf
439-14-5	Yolk edema	Biobide	AC50	4dpf
56803-37-3	Yolk edema	Biobide	AC50	4dpf
203-64-5	Yolk edema	Biobide	AC50	4dpf
860302-33-6	Yolk edema	Biobide	AC50	4dpf
208-96-8	Yolk edema	Biobide	AC50	4dpf
56-55-3	Yolk edema	Biobide	AC50	4dpf
76-44-8	Yolk edema	Biobide	AC50	4dpf
85-01-8	Yolk edema	Biobide	AC50	4dpf
60-57-1	Yolk edema	Biobide	AC50	4dpf
107534-96-3	Yolk edema	Biobide	AC50	4dpf
83-32-9	Yolk edema	Biobide	AC50	4dpf
86-73-7	Yolk edema	Biobide	AC50	4dpf
58-89-9	Yolk edema	Biobide	AC50	4dpf
80-05-7	Yolk edema	Biobide	AC50	4dpf
1746-01-6	Yolk opacity	Biobide	AC50	4dpf
56-35-9	Yolk opacity	Biobide	AC50	4dpf
52918-63-5	Yolk opacity	Biobide	AC50	4dpf
2001-95-8	Yolk opacity	Biobide	AC50	4dpf
83-79-4	Yolk opacity	Biobide	AC50	4dpf
115-09-3	Yolk opacity	Biobide	AC50	4dpf
70-30-4	Yolk opacity	Biobide	AC50	4dpf
60-57-1	Yolk opacity	Biobide	AC50	4dpf
79-94-7	Yolk opacity	Biobide	AC50	4dpf
97-77-8	Yolk opacity	Biobide	AC50	4dpf
50-29-3	Yolk opacity	Biobide	AC50	4dpf
52645-53-1	Yolk opacity	Biobide	AC50	4dpf
55406-53-6	Yolk opacity	Biobide	AC50	4dpf
2921-88-2	Yolk opacity	Biobide	AC50	4dpf
56-53-1	Yolk opacity	Biobide	AC50	4dpf
1478-61-1	Yolk opacity	Biobide	AC50	4dpf
2465-27-2	Yolk opacity	Biobide	AC50	4dpf
115-86-6	Yolk opacity	Biobide	AC50	4dpf
68937-41-7	Yolk opacity	Biobide	AC50	4dpf
76-44-8	Yolk opacity	Biobide	AC50	4dpf
1330-78-5	Yolk opacity	Biobide	AC50	4dpf
50-28-2	Yolk opacity	Biobide	AC50	4dpf
56803-37-3	Yolk opacity	Biobide	AC50	4dpf
1241-94-7	Yolk opacity	Biobide	AC50	4dpf
439-14-5	Yolk opacity	Biobide	AC50	4dpf
56-38-2	Yolk opacity	Biobide	AC50	4dpf
107534-96-3	Yolk opacity	Biobide	AC50	4dpf
85-01-8	Yolk opacity	Biobide	AC50	4dpf
208-96-8	Yolk opacity	Biobide	AC50	4dpf
203-64-5	Yolk opacity	Biobide	AC50	4dpf
860302-33-6	Yolk opacity	Biobide	AC50	4dpf
63-25-2	Yolk opacity	Biobide	AC50	4dpf
58-89-9	Yolk opacity	Biobide	AC50	4dpf
83-32-9	Yolk opacity	Biobide	AC50	4dpf
56-55-3	Yolk opacity	Biobide	AC50	4dpf
86-73-7	Yolk opacity	Biobide	AC50	4dpf
85-01-8	Somite morphology	Biobide	AC50	4dpf
207-08-9	Other effects	Biobide	AC50	4dpf
83-79-4	Other effects	Biobide	AC50	4dpf
129-00-0	Other effects	Biobide	AC50	4dpf
53-70-3	Other effects	Biobide	AC50	4dpf
52645-53-1	Other effects	Biobide	AC50	4dpf
50-29-3	Other effects	Biobide	AC50	4dpf
50-28-2	Other effects	Biobide	AC50	4dpf
56-38-2	Other effects	Biobide	AC50	4dpf
133-06-2	Other effects	Biobide	AC50	4dpf
1746-01-6	Hatching	Biobide	AC50	4dpf
83-79-4	Hatching	Biobide	AC50	4dpf
97-77-8	Hatching	Biobide	AC50	4dpf
70-30-4	Hatching	Biobide	AC50	4dpf
56-53-1	Hatching	Biobide	AC50	4dpf
115-09-3	Hatching	Biobide	AC50	4dpf
1478-61-1	Hatching	Biobide	AC50	4dpf
50-28-2	Hatching	Biobide	AC50	4dpf
439-14-5	Hatching	Biobide	AC50	4dpf
1241-94-7	Hatching	Biobide	AC50	4dpf
80-05-7	Hatching	Biobide	AC50	4dpf
56-38-2	Hatching	Biobide	AC50	4dpf
107534-96-3	Hatching	Biobide	AC50	4dpf
860302-33-6	Hatching	Biobide	AC50	4dpf
208-96-8	Hatching	Biobide	AC50	4dpf
58-89-9	Hatching	Biobide	AC50	4dpf
83-79-4	Necrotic tissues	Biobide	AC50	4dpf
97-77-8	Necrotic tissues	Biobide	AC50	4dpf
79-94-7	Necrotic tissues	Biobide	AC50	4dpf
115-09-3	Necrotic tissues	Biobide	AC50	4dpf
56-53-1	Necrotic tissues	Biobide	AC50	4dpf
115-86-6	Necrotic tissues	Biobide	AC50	4dpf
68937-41-7	Necrotic tissues	Biobide	AC50	4dpf
1478-61-1	Necrotic tissues	Biobide	AC50	4dpf
56803-37-3	Necrotic tissues	Biobide	AC50	4dpf
1241-94-7	Necrotic tissues	Biobide	AC50	4dpf
860302-33-6	Necrotic tissues	Biobide	AC50	4dpf
439-14-5	Necrotic tissues	Biobide	AC50	4dpf
1330-78-5	Necrotic tissues	Biobide	AC50	4dpf
1746-01-6	Mortality	Biobide	LEL	4dpf
2001-95-8	Mortality	Biobide	LEL	4dpf
83-79-4	Mortality	Biobide	LEL	4dpf
52918-63-5	Mortality	Biobide	LEL	4dpf
56-35-9	Mortality	Biobide	LEL	4dpf
115-09-3	Mortality	Biobide	LEL	4dpf
70-30-4	Mortality	Biobide	LEL	4dpf
79-94-7	Mortality	Biobide	LEL	4dpf
55406-53-6	Mortality	Biobide	LEL	4dpf
2465-27-2	Mortality	Biobide	LEL	4dpf
97-77-8	Mortality	Biobide	LEL	4dpf
56-53-1	Mortality	Biobide	LEL	4dpf
115-86-6	Mortality	Biobide	LEL	4dpf
68937-41-7	Mortality	Biobide	LEL	4dpf
1241-94-7	Mortality	Biobide	LEL	4dpf
1330-78-5	Mortality	Biobide	LEL	4dpf
2921-88-2	Mortality	Biobide	LEL	4dpf
56803-37-3	Mortality	Biobide	LEL	4dpf
1478-61-1	Mortality	Biobide	LEL	4dpf
50-28-2	Mortality	Biobide	LEL	4dpf
203-64-5	Mortality	Biobide	LEL	4dpf
56-38-2	Mortality	Biobide	LEL	4dpf
860302-33-6	Mortality	Biobide	LEL	4dpf
208-96-8	Mortality	Biobide	LEL	4dpf
83-32-9	Mortality	Biobide	LEL	4dpf
85-01-8	Mortality	Biobide	LEL	4dpf
86-73-7	Mortality	Biobide	LEL	4dpf
439-14-5	Mortality	Biobide	LEL	4dpf
58-89-9	Mortality	Biobide	LEL	4dpf
76-44-8	Mortality	Biobide	LEL	4dpf
107534-96-3	Mortality	Biobide	LEL	4dpf
80-05-7	Mortality	Biobide	LEL	4dpf
133-06-2	Mortality	Biobide	LEL	4dpf
52918-63-5	Jaw morphology	Biobide	LEL	4dpf
60-57-1	Jaw morphology	Biobide	LEL	4dpf
52645-53-1	Jaw morphology	Biobide	LEL	4dpf
50-29-3	Jaw morphology	Biobide	LEL	4dpf
50-28-2	Jaw morphology	Biobide	LEL	4dpf
6080-56-4	Jaw morphology	Biobide	LEL	4dpf
203-64-5	Jaw morphology	Biobide	LEL	4dpf
1746-01-6	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
2001-95-8	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
52918-63-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
83-79-4	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
56-35-9	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
115-09-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
97-77-8	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
60-57-1	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
70-30-4	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
56-53-1	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
116-06-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
79-94-7	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
52645-53-1	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
50-29-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
115-86-6	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
68937-41-7	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
53-70-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
1478-61-1	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
58-89-9	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
6080-56-4	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
2465-27-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
860302-33-6	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
207-08-9	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
2921-88-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
56803-37-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
76-44-8	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
56-55-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
50-28-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
1241-94-7	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
1330-78-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
56-38-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
208-96-8	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
85-01-8	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
439-14-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
80-05-7	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
63-25-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
203-64-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
83-32-9	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
86-73-7	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
107534-96-3	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
29761-21-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
133-06-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
13674-84-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
1069-66-5	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
205-99-2	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
64-86-8	Microcephaly or abnormal head shape	Biobide	LEL	4dpf
1746-01-6	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
83-79-4	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
97-77-8	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
79-94-7	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
56-53-1	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
60-57-1	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
115-86-6	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
68937-41-7	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
1478-61-1	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
2465-27-2	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
58-89-9	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
50-28-2	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
1241-94-7	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
56-38-2	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
203-64-5	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
208-96-8	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
85-01-8	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
439-14-5	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
80-05-7	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
107534-96-3	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
56-55-3	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
83-32-9	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
86-73-7	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
63-25-2	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
205-99-2	Microphthalmia/Cyclopia	Biobide	LEL	4dpf
50-28-2	Malformation of the sacculi/otoliths	Biobide	LEL	4dpf
1746-01-6	Heart edema/irregular shape	Biobide	LEL	4dpf
52918-63-5	Heart edema/irregular shape	Biobide	LEL	4dpf
56-35-9	Heart edema/irregular shape	Biobide	LEL	4dpf
83-79-4	Heart edema/irregular shape	Biobide	LEL	4dpf
97-77-8	Heart edema/irregular shape	Biobide	LEL	4dpf
115-09-3	Heart edema/irregular shape	Biobide	LEL	4dpf
70-30-4	Heart edema/irregular shape	Biobide	LEL	4dpf
68937-41-7	Heart edema/irregular shape	Biobide	LEL	4dpf
79-94-7	Heart edema/irregular shape	Biobide	LEL	4dpf
56-53-1	Heart edema/irregular shape	Biobide	LEL	4dpf
60-57-1	Heart edema/irregular shape	Biobide	LEL	4dpf
115-86-6	Heart edema/irregular shape	Biobide	LEL	4dpf
116-06-3	Heart edema/irregular shape	Biobide	LEL	4dpf
50-29-3	Heart edema/irregular shape	Biobide	LEL	4dpf
860302-33-6	Heart edema/irregular shape	Biobide	LEL	4dpf
58-89-9	Heart edema/irregular shape	Biobide	LEL	4dpf
1478-61-1	Heart edema/irregular shape	Biobide	LEL	4dpf
2465-27-2	Heart edema/irregular shape	Biobide	LEL	4dpf
52645-53-1	Heart edema/irregular shape	Biobide	LEL	4dpf
56-55-3	Heart edema/irregular shape	Biobide	LEL	4dpf
56803-37-3	Heart edema/irregular shape	Biobide	LEL	4dpf
1241-94-7	Heart edema/irregular shape	Biobide	LEL	4dpf
1330-78-5	Heart edema/irregular shape	Biobide	LEL	4dpf
50-28-2	Heart edema/irregular shape	Biobide	LEL	4dpf
56-38-2	Heart edema/irregular shape	Biobide	LEL	4dpf
85-01-8	Heart edema/irregular shape	Biobide	LEL	4dpf
439-14-5	Heart edema/irregular shape	Biobide	LEL	4dpf
80-05-7	Heart edema/irregular shape	Biobide	LEL	4dpf
76-44-8	Heart edema/irregular shape	Biobide	LEL	4dpf
203-64-5	Heart edema/irregular shape	Biobide	LEL	4dpf
208-96-8	Heart edema/irregular shape	Biobide	LEL	4dpf
107534-96-3	Heart edema/irregular shape	Biobide	LEL	4dpf
83-32-9	Heart edema/irregular shape	Biobide	LEL	4dpf
63-25-2	Heart edema/irregular shape	Biobide	LEL	4dpf
29761-21-5	Heart edema/irregular shape	Biobide	LEL	4dpf
86-73-7	Heart edema/irregular shape	Biobide	LEL	4dpf
205-99-2	Heart edema/irregular shape	Biobide	LEL	4dpf
1069-66-5	Heart edema/irregular shape	Biobide	LEL	4dpf
1241-94-7	Abnormal heartbeat	Biobide	LEL	4dpf
1330-78-5	Abnormal heartbeat	Biobide	LEL	4dpf
85-01-8	Abnormal heartbeat	Biobide	LEL	4dpf
63-25-2	Abnormal heartbeat	Biobide	LEL	4dpf
1746-01-6	Length alteration	Biobide	LEL	4dpf
2001-95-8	Length alteration	Biobide	LEL	4dpf
97-77-8	Length alteration	Biobide	LEL	4dpf
115-09-3	Length alteration	Biobide	LEL	4dpf
115-86-6	Length alteration	Biobide	LEL	4dpf
116-06-3	Length alteration	Biobide	LEL	4dpf
50-29-3	Length alteration	Biobide	LEL	4dpf
52645-53-1	Length alteration	Biobide	LEL	4dpf
68937-41-7	Length alteration	Biobide	LEL	4dpf
860302-33-6	Length alteration	Biobide	LEL	4dpf
2465-27-2	Length alteration	Biobide	LEL	4dpf
2921-88-2	Length alteration	Biobide	LEL	4dpf
63-25-2	Length alteration	Biobide	LEL	4dpf
58-89-9	Length alteration	Biobide	LEL	4dpf
56803-37-3	Length alteration	Biobide	LEL	4dpf
50-28-2	Length alteration	Biobide	LEL	4dpf
56-38-2	Length alteration	Biobide	LEL	4dpf
439-14-5	Length alteration	Biobide	LEL	4dpf
56-55-3	Length alteration	Biobide	LEL	4dpf
203-64-5	Length alteration	Biobide	LEL	4dpf
83-32-9	Length alteration	Biobide	LEL	4dpf
133-06-2	Length alteration	Biobide	LEL	4dpf
29761-21-5	Length alteration	Biobide	LEL	4dpf
1746-01-6	Curved/curled	Biobide	LEL	4dpf
2001-95-8	Curved/curled	Biobide	LEL	4dpf
52918-63-5	Curved/curled	Biobide	LEL	4dpf
56-35-9	Curved/curled	Biobide	LEL	4dpf
97-77-8	Curved/curled	Biobide	LEL	4dpf
115-09-3	Curved/curled	Biobide	LEL	4dpf
79-94-7	Curved/curled	Biobide	LEL	4dpf
50-29-3	Curved/curled	Biobide	LEL	4dpf
52645-53-1	Curved/curled	Biobide	LEL	4dpf
115-86-6	Curved/curled	Biobide	LEL	4dpf
116-06-3	Curved/curled	Biobide	LEL	4dpf
2465-27-2	Curved/curled	Biobide	LEL	4dpf
6080-56-4	Curved/curled	Biobide	LEL	4dpf
56-53-1	Curved/curled	Biobide	LEL	4dpf
2921-88-2	Curved/curled	Biobide	LEL	4dpf
68937-41-7	Curved/curled	Biobide	LEL	4dpf
860302-33-6	Curved/curled	Biobide	LEL	4dpf
50-28-2	Curved/curled	Biobide	LEL	4dpf
56803-37-3	Curved/curled	Biobide	LEL	4dpf
56-38-2	Curved/curled	Biobide	LEL	4dpf
129-00-0	Curved/curled	Biobide	LEL	4dpf
58-89-9	Curved/curled	Biobide	LEL	4dpf
439-14-5	Curved/curled	Biobide	LEL	4dpf
203-64-5	Curved/curled	Biobide	LEL	4dpf
85-01-8	Curved/curled	Biobide	LEL	4dpf
76-44-8	Curved/curled	Biobide	LEL	4dpf
208-96-8	Curved/curled	Biobide	LEL	4dpf
83-32-9	Curved/curled	Biobide	LEL	4dpf
86-73-7	Curved/curled	Biobide	LEL	4dpf
63-25-2	Curved/curled	Biobide	LEL	4dpf
56-55-3	Curved/curled	Biobide	LEL	4dpf
133-06-2	Curved/curled	Biobide	LEL	4dpf
5436-43-1	Curved/curled	Biobide	LEL	4dpf
97-77-8	Notochord morphology	Biobide	LEL	4dpf
207-08-9	Malformation of the tail (including tail fins)	Biobide	LEL	4dpf
58-89-9	Malformation of the tail (including tail fins)	Biobide	LEL	4dpf
53-70-3	Malformation of the tail (including tail fins)	Biobide	LEL	4dpf
1746-01-6	Yolk edema	Biobide	LEL	4dpf
56-35-9	Yolk edema	Biobide	LEL	4dpf
52918-63-5	Yolk edema	Biobide	LEL	4dpf
115-09-3	Yolk edema	Biobide	LEL	4dpf
79-94-7	Yolk edema	Biobide	LEL	4dpf
115-86-6	Yolk edema	Biobide	LEL	4dpf
2465-27-2	Yolk edema	Biobide	LEL	4dpf
68937-41-7	Yolk edema	Biobide	LEL	4dpf
860302-33-6	Yolk edema	Biobide	LEL	4dpf
1478-61-1	Yolk edema	Biobide	LEL	4dpf
56-53-1	Yolk edema	Biobide	LEL	4dpf
50-29-3	Yolk edema	Biobide	LEL	4dpf
1330-78-5	Yolk edema	Biobide	LEL	4dpf
50-28-2	Yolk edema	Biobide	LEL	4dpf
56-38-2	Yolk edema	Biobide	LEL	4dpf
439-14-5	Yolk edema	Biobide	LEL	4dpf
56-55-3	Yolk edema	Biobide	LEL	4dpf
1241-94-7	Yolk edema	Biobide	LEL	4dpf
60-57-1	Yolk edema	Biobide	LEL	4dpf
58-89-9	Yolk edema	Biobide	LEL	4dpf
203-64-5	Yolk edema	Biobide	LEL	4dpf
85-01-8	Yolk edema	Biobide	LEL	4dpf
76-44-8	Yolk edema	Biobide	LEL	4dpf
208-96-8	Yolk edema	Biobide	LEL	4dpf
107534-96-3	Yolk edema	Biobide	LEL	4dpf
83-32-9	Yolk edema	Biobide	LEL	4dpf
86-73-7	Yolk edema	Biobide	LEL	4dpf
63-25-2	Yolk edema	Biobide	LEL	4dpf
1746-01-6	Yolk opacity	Biobide	LEL	4dpf
56-35-9	Yolk opacity	Biobide	LEL	4dpf
52918-63-5	Yolk opacity	Biobide	LEL	4dpf
115-09-3	Yolk opacity	Biobide	LEL	4dpf
60-57-1	Yolk opacity	Biobide	LEL	4dpf
79-94-7	Yolk opacity	Biobide	LEL	4dpf
50-29-3	Yolk opacity	Biobide	LEL	4dpf
97-77-8	Yolk opacity	Biobide	LEL	4dpf
52645-53-1	Yolk opacity	Biobide	LEL	4dpf
2465-27-2	Yolk opacity	Biobide	LEL	4dpf
1478-61-1	Yolk opacity	Biobide	LEL	4dpf
2921-88-2	Yolk opacity	Biobide	LEL	4dpf
56-53-1	Yolk opacity	Biobide	LEL	4dpf
76-44-8	Yolk opacity	Biobide	LEL	4dpf
115-86-6	Yolk opacity	Biobide	LEL	4dpf
68937-41-7	Yolk opacity	Biobide	LEL	4dpf
1330-78-5	Yolk opacity	Biobide	LEL	4dpf
50-28-2	Yolk opacity	Biobide	LEL	4dpf
1241-94-7	Yolk opacity	Biobide	LEL	4dpf
56803-37-3	Yolk opacity	Biobide	LEL	4dpf
56-38-2	Yolk opacity	Biobide	LEL	4dpf
439-14-5	Yolk opacity	Biobide	LEL	4dpf
85-01-8	Yolk opacity	Biobide	LEL	4dpf
107534-96-3	Yolk opacity	Biobide	LEL	4dpf
56-55-3	Yolk opacity	Biobide	LEL	4dpf
58-89-9	Yolk opacity	Biobide	LEL	4dpf
203-64-5	Yolk opacity	Biobide	LEL	4dpf
63-25-2	Yolk opacity	Biobide	LEL	4dpf
83-32-9	Yolk opacity	Biobide	LEL	4dpf
86-73-7	Yolk opacity	Biobide	LEL	4dpf
207-08-9	Other effects	Biobide	LEL	4dpf
53-70-3	Other effects	Biobide	LEL	4dpf
129-00-0	Other effects	Biobide	LEL	4dpf
52645-53-1	Other effects	Biobide	LEL	4dpf
50-29-3	Other effects	Biobide	LEL	4dpf
133-06-2	Other effects	Biobide	LEL	4dpf
97-77-8	Hatching	Biobide	LEL	4dpf
56-53-1	Hatching	Biobide	LEL	4dpf
1478-61-1	Hatching	Biobide	LEL	4dpf
50-28-2	Hatching	Biobide	LEL	4dpf
439-14-5	Hatching	Biobide	LEL	4dpf
107534-96-3	Hatching	Biobide	LEL	4dpf
80-05-7	Hatching	Biobide	LEL	4dpf
58-89-9	Hatching	Biobide	LEL	4dpf
52918-63-5	Necrotic tissues	Biobide	LEL	4dpf
97-77-8	Necrotic tissues	Biobide	LEL	4dpf
56-53-1	Necrotic tissues	Biobide	LEL	4dpf
1478-61-1	Necrotic tissues	Biobide	LEL	4dpf
115-86-6	Necrotic tissues	Biobide	LEL	4dpf
68937-41-7	Necrotic tissues	Biobide	LEL	4dpf
56803-37-3	Necrotic tissues	Biobide	LEL	4dpf
1241-94-7	Necrotic tissues	Biobide	LEL	4dpf
63-25-2	Necrotic tissues	Biobide	LEL	4dpf
115-09-3	Mortality	Lein	AC50	1dpf
55406-53-6	Mortality	Lein	AC50	1dpf
70-30-4	Mortality	Lein	AC50	1dpf
83-79-4	Mortality	Lein	AC50	1dpf
79-94-7	Mortality	Lein	AC50	1dpf
97-77-8	Mortality	Lein	AC50	1dpf
56-53-1	Mortality	Lein	AC50	1dpf
1478-61-1	Mortality	Lein	AC50	1dpf
2001-95-8	Mortality	Lein	AC50	1dpf
26040-51-7	Mortality	Lein	AC50	1dpf
2001-95-8	Halted Dev.	Lein	AC50	1dpf
83-79-4	Halted Dev.	Lein	AC50	1dpf
2465-27-2	Halted Dev.	Lein	AC50	1dpf
79-94-7	Halted Dev.	Lein	AC50	1dpf
70-30-4	Yolk E.	Lein	AC50	1dpf
70-30-4	Axis	Lein	AC50	1dpf
79-94-7	Axis	Lein	AC50	1dpf
56-53-1	Axis	Lein	AC50	1dpf
439-14-5	Axis	Lein	AC50	1dpf
70-30-4	Notochord	Lein	AC50	1dpf
115-09-3	C. Fin	Lein	AC50	1dpf
70-30-4	C. Fin	Lein	AC50	1dpf
97-77-8	C. Fin	Lein	AC50	1dpf
79-94-7	C. Fin	Lein	AC50	1dpf
56-53-1	C. Fin	Lein	AC50	1dpf
76-44-8	C. Fin	Lein	AC50	1dpf
115-09-3	Mortality	Lein	LEL	1dpf
2001-95-8	Mortality	Lein	LEL	1dpf
55406-53-6	Mortality	Lein	LEL	1dpf
70-30-4	Mortality	Lein	LEL	1dpf
83-79-4	Mortality	Lein	LEL	1dpf
79-94-7	Mortality	Lein	LEL	1dpf
1478-61-1	Mortality	Lein	LEL	1dpf
26040-51-7	Mortality	Lein	LEL	1dpf
56-53-1	Mortality	Lein	LEL	1dpf
97-77-8	Mortality	Lein	LEL	1dpf
2001-95-8	Halted Dev.	Lein	LEL	1dpf
83-79-4	Halted Dev.	Lein	LEL	1dpf
2465-27-2	Halted Dev.	Lein	LEL	1dpf
439-14-5	Halted Dev.	Lein	LEL	1dpf
50-28-2	Halted Dev.	Lein	LEL	1dpf
2465-27-2	Craniofacial	Lein	LEL	1dpf
70-30-4	Axis	Lein	LEL	1dpf
79-94-7	Axis	Lein	LEL	1dpf
2465-27-2	Axis	Lein	LEL	1dpf
439-14-5	Axis	Lein	LEL	1dpf
50-28-2	Axis	Lein	LEL	1dpf
115-86-6	Axis	Lein	LEL	1dpf
1330-78-5	Axis	Lein	LEL	1dpf
52918-63-5	Axis	Lein	LEL	1dpf
79-94-7	C. Fin	Lein	LEL	1dpf
76-44-8	C. Fin	Lein	LEL	1dpf
1746-01-6	Mortality	Lein	AC50	2dpf
2001-95-8	Mortality	Lein	AC50	2dpf
115-09-3	Mortality	Lein	AC50	2dpf
56-35-9	Mortality	Lein	AC50	2dpf
83-79-4	Mortality	Lein	AC50	2dpf
55406-53-6	Mortality	Lein	AC50	2dpf
70-30-4	Mortality	Lein	AC50	2dpf
79-94-7	Mortality	Lein	AC50	2dpf
2465-27-2	Mortality	Lein	AC50	2dpf
